epoch	loss	acc	val_loss	val_acc
249	0.428768	0.774194	0.898926	0.608696
250	0.307169	0.937500	0.875620	0.608696
251	0.337479	0.937500	0.864442	0.608696
252	0.346138	0.875000	0.861663	0.608696
253	0.270487	0.937500	0.861518	0.608696
254	0.439587	0.838710	0.864519	0.652174
255	0.260914	0.968750	0.872666	0.652174
256	0.354345	0.875000	0.870321	0.652174
257	0.169960	0.968750	0.867366	0.652174
258	0.442896	0.812500	0.869698	0.652174
259	0.569980	0.774194	0.873091	0.652174
260	0.224568	0.875000	0.877631	0.608696
261	0.291880	0.875000	0.882749	0.608696
262	0.285531	0.875000	0.888825	0.608696
263	0.212076	0.968750	0.889443	0.608696
264	0.321410	0.870968	0.889768	0.608696
265	0.289435	0.937500	0.890283	0.565217
266	0.215160	0.937500	0.895964	0.565217
267	0.172041	0.937500	0.898478	0.565217
268	0.316630	0.906250	0.895602	0.565217
269	0.264289	0.903226	0.889020	0.565217
270	0.322316	0.875000	0.877415	0.652174
271	0.305928	0.937500	0.872528	0.652174
272	0.304319	0.875000	0.858844	0.652174
273	0.186819	0.968750	0.854511	0.652174
274	0.101085	0.967742	0.854020	0.652174
275	0.246091	0.906250	0.853273	0.608696
276	0.410168	0.875000	0.855752	0.608696
277	0.453119	0.781250	0.861479	0.608696
278	0.247628	0.906250	0.872872	0.608696
279	0.232329	0.935484	0.874240	0.608696
280	0.261352	0.937500	0.884926	0.608696
281	0.252864	0.875000	0.893790	0.608696
282	0.218687	0.937500	0.898590	0.608696
283	0.318906	0.843750	0.899743	0.608696
284	0.214989	0.935484	0.902873	0.608696
285	0.172143	0.968750	0.902858	0.608696
286	0.395987	0.843750	0.903381	0.608696
287	0.295631	0.906250	0.892744	0.608696
288	0.141399	0.968750	0.881242	0.608696
289	0.321301	0.838710	0.868859	0.608696
290	0.251177	0.875000	0.859966	0.695652
291	0.273882	0.906250	0.852401	0.695652
292	0.366836	0.812500	0.843489	0.695652
293	0.168048	0.937500	0.839986	0.695652
294	0.342106	0.903226	0.831640	0.695652
295	0.174922	1.000000	0.828455	0.695652
296	0.224828	0.906250	0.828405	0.695652
297	0.167728	0.968750	0.825067	0.695652
298	0.307203	0.875000	0.825130	0.695652
299	0.214526	0.967742	0.824972	0.695652
